CATEGORY    CASE
NI-1.1  一か月で体重が5%以上低下した
NI-1.4  BMIが13.8%,体脂肪率が8.9%と低値であった
NI-1.2  競技終了直後の平均体重は62.0±5.5kgで,前々日の平均体重63.7±6.0kgとくらべて1.7±1.0kg減少していた(P<0.001).
NI-1.2  エネルギー消費量に対する摂取量の充足率は,前々日は203±53%,前日は151±40%と上回っていたが,競技当日の充足率は55±27%と少なかった.
NI-1.3  成人を対象とした縦断研究2件のうち，1件は統計的に有意な関連が報告されており，23時~5時の夜間に摂取する者の方が，体重変化量，体重増加量，体重増加割合が多かった．
NI-1.3  結果として20時以降の摂取エネルギー・脂質摂取量，夜食の時刻とBMIとの間には正の相関があることを示していた．
NI-1.3  プログラム参加前に身体計測を行なった結果,被験者の平均Body Mass Index (BMI)は26.7±2.7kg/m2であった.
NI-2.1  栄養摂取量の低下、特にがんの進行、集学的治療に伴う経口摂取量の低下に起因するが、具体的な要因として嚥下障害、消化管通過障害、下痢、腹痛、がん性疼痛、抑うつ状態など、がんそのものの症状によるもの、口内炎、ドライマウス、嘔気、嘔吐、下痢など抗腫瘍療法の副作用などがあげられ、これらの病態は「がん関連性低栄養」と表現される。
NI-1.4  体重減少をきたしているがん患者では、1日の栄養摂取量が健常時より約300kcal少なくなっていると言われており、原因としてはがんの症状としての味覚・嗅覚異常、化学療法や放射線療法の副作用としての嘔気、嘔吐や、口内炎、食道炎などによる嚥下障害、消化管粘膜障害による消化吸収機能の低下などがあげられる。
NI-1.2  各種癌254症例を対象に,体重減少と症状との関係を調査した最近の報告によると,化学療法施行前後にかかわらず,5%以上の体重減少を来した症例は2/3であった。
NI-2.1  そこで，今回はWilliams らの総説を参考に，経口摂取に必要十分な摂食嚥下機能があり，拒食をもたらす明らかな構造異常がないにもかかわらず，就学期以前に特徴的な拒食行動を示し，十分量の食事を経口摂取せず，栄養補給確保のために濃厚流動食，または経管栄養による医療的介入を必要とした症例を，乳幼児期発症の拒食と定義した．
NB-1.5  21才男性　身長166cm　発病前体重59kg　受診時体重50kg 体重最低時43kg 17才で失恋がきっかけでダイエットを始め、約4ヵ月で5kg減量。その後自発性嘔吐が出現。そのうち過食と自発性嘔吐を繰り返すようになった。
NB-1.5  20才男性　身長176cm　発病前体重70kg　受診時体重57kg 体重最低時50kg 16才で友人に太っていると指摘されたのをきっかけにダイエットを始め、約半年で5kg 減量。その後、過食と自発的嘔吐を繰り返し、18 才時には、低蛋白血症、肝機能異常、貧血を呈し、内科入院の既往がある
NB-1.1  食事の指導を受けたが実践できない理由として,(1)指導不足,(2)意欲の喚起不足,(3)協力者の知識不足,が上げられた
NB-2.3  うつ病や認知症で自己管理が困難である
NB-1.2  高齢者を対象とした先行研究では，食品選択で低カロリーを重視する人ほど，卵の摂取が少なくなることが示されており，その要因としてコレステロールに対する誤った信念が挙げられていた。
NB-1.3  「息子がいるので肉を魚にかえにくい」といった「家族に配慮するため生活習慣の改善が困難」というマイナス面の意見も抽出されている。
NB-1.3  「家族に心配をかけたくないから敢えて何も話さない」といった家族への配慮が行動変容の妨げとなっている可能性が認められている。
NB-1.4  実施しない理由として，測定用具を持っていない，必要性を感じない，記録することが大変・面倒である，の3点が主要なものであった。
NB-1.4  体重測定をはじめ，血圧測定，歩数測定など，セルフモニタリングを実施しない理由の上位に，測定用具を持たないことが挙げられた。
NB-1.4  体重測定，自己検脈，食事内容の記録について，必要性を感じないことが実施しない理由であった。
NB-1.4  自己検脈をしない理由として半数の者が“必要性を感じていない”と回答している
NB-2.3  入浴に関するセルフケアでは，浴槽への入り方や入浴の時間・温度に気を配る一方，寒い日の入浴を避けるセルフケアの実施率は低く，冬季の浴室の温度変化への注意があまり払われていないことが推測された。
NB-1.6  医療者側の指導に対する受け人れ態度が拒否的
NB-1.7  生活習慣を思うように改善できない理由としては,表7に示す通り,「きっかけがつかめない」,「仕事が忙しい」,「面倒くさい」,との回答が多かった.
NB-2.1  その際の加速度計から得られた歩数は、男性が4521 歩、女性が4533 歩であり、Hl8 〜H22 年の国民健康・栄養調査で得られた岩手県の歩数、男性7300 歩、女性6500 歩より低い値であった。
NB-2.4  認知症高齢者は，このように認知障害や記憶障害などの病変によってコミュニケーションが取り難いうえに，のどにつまらせる， 咀嚼できないなど摂食全般にわたる障害をもっている．
NB-2.4  さらに，山田は摂食困難に影響を及ぼす要因のなかの摂食行動上の困難として， 器から食物をすくう動作およびむせには認知症の重症度のほかに食物形態と座位保持の状態が関連しており，摂食を中断する摂食リズムの乱れには，よそ見をする，口をあけようとしない，手の動きが止まるなどの状態をあげていた．
NB-2.4  認知症高齢者の食事動作が滞る際のサインはよそ見，周囲の入の食物に手を伸ばす，食物のもてあそび，1種類の食物への集中などさまざまであるが，個人ごとにみると一定のパターンがある可能性が示唆された．
NB-2.1  本症例は呼吸困難に対する対処方法を知り得ていなかったため日常生活において活動を制限していた。
NB-2.5  活動制限に伴うQOLの低下
NB-2.5  慢性閉塞性肺疾患（COPD）患者では，栄養不足による骨格筋，呼吸筋の筋力低下が換気制限に関与するとされ，やせはCOPD 患者の独立した予後因子とされている。
