NI,摂取量(Nutrition-Intake)
NI-1,エネルギー出納
NI-1.1,エネルギー消費の亢進(Increased-energy-expenditure)-
NI-1.2,エネルギー摂取量不足(Inadequate-energy-intake)-
NI-1.3,エネルギー摂取量過剰(Excessive-energy-intake)-
NI-1.4,エネルギー摂取量不足の発現予測(Predicted-suboptimal-energy-intake)-
NI-1.5,エネルギー摂取量過剰の発現予測(Predicted-excessive-energy-intake)
NI-2,経口静脈栄養補給
NI-2.1,経口摂取量不足(Inadequate-oral-intake)-
NI-2.2,経口摂取量過剰(Excessive-oral-intake)-
NI-2.3,経腸栄養投与量不足(Inadequate-enteral-nutrition-infusion)-
NI-2.4,経腸栄養投与量過剰(Excessive-enteral-nutrition-infusion)-
NI-2.5,最適でない経腸栄養法(Less-than-optimal-enteral-nutrition)-
NI-2.6,静脈栄養量不足(Inadequate-parenteral-nutrition-infusion)-
NI-2.7,静脈栄養量過剰(Excessive-parenteral-nutrition-infusion)-
NI-2.8,最適でない静脈栄養(Less-than-optimal-parenteral-nutrition)
NI-2.9,限られた食物摂取(Limited-food-acceptance)
NI-3,水分摂取
NI-3.1,水分摂取量不足(Inadequate-fluid-intake)
NI-3.2,水分摂取量過剰(Excessive-fluid-intake)
NI-4,生物活性物質
NI-4.1,生物活性物質摂取量不足(Inadequate-bioactive-substance-intake)
NI-4.2,生物活性物質摂取量過剰(Excessive-bioactive-substance-intake)
NI-4.3,アルコール摂取量過剰(Excessive-alcohol-intake)
NI-5,栄養素
NI-5.1,栄養素必要量の増大(Increased-nutrient-needs)-
NI-5.2,栄養失調(Malnutrition)
NI-5.3,たんぱく質・エネルギー摂取量不足(Inadequate-protein-energy-intake)-
NI-5.4,栄養素必要量の減少(Decreased-nutrient-needs)
NI-5.5,栄養素摂取のインバランス(Imbalance-of-nutrients)-
NI-5.6,脂質とコレステロール-
NI-5.6.1,脂質摂取量不足(Inadequate-fat-intake)-
NI-5.6.2,脂質摂取量過剰(Excessive-fat-intake)-
NI-5.6.3,脂質の不適切な摂取(Inappropriate-intake-of-fats)
NI-5.7,たんぱく質-
NI-5.7.1,たんぱく質摂取量不足(Inadequate-protein-intake)-
NI-5.7.2,たんぱく質摂取量過剰(Excessive-protein-intake)
NI-5.7.3,たんぱく質やアミノ酸の不適切な摂取(Inappropriate-intake-of-protein-or-amino-acids)-
NI-5.8,炭水化物と食物繊維
NI-5.8.1,炭水化物摂取量不足(Inadequate-carbohydrate-intake)-
NI-5.8.2,炭水化物摂取量過剰(Excessive-carbohydrate-intake)-
NI-5.8.3,炭水化物の不適切な摂取(Inappropriate-intake-of-types-of-carbohydrate)-
NI-5.8.4,不規則な炭水化物摂取(Inconsistent-carbohydrate-intake)-
NI-5.8.5,食物繊維摂取量不足(Inadequate-fiber-intake)
NI-5.8.6,食物繊維摂取量過剰(Excessive-fiber-intake)-
NI-5.9,ビタミン-
NI-5.9.1,ビタミン摂取量不足(Inadequate-vitamin-intake)-
NI-5.9.1,(1)ビタミンA摂取量不足
NI-5.9.1,(2)ビタミンC摂取量不足
NI-5.9.1,(3)ビタミンD摂取量不足
NI-5.9.1,(4)ビタミンE摂取量不足
NI-5.9.1,(5)ビタミンK摂取量不足
NI-5.9.1,(6)チアミン(ビタミンB1)摂取量不足
NI-5.9.1,(7)リボフラビン(ビタミンB2)摂取量不足
NI-5.9.1,(8)ナイアシン摂取量不足
NI-5.9.1,(9)葉酸摂取量不足
NI-5.9.1,(10)ビタミンB6摂取量不足
NI-5.9.1,(11)ビタミンB12の摂取量不足
NI-5.9.1,(12)パントテン酸摂取量不足
NI-5.9.1,(13)ビオチン摂取量不足
NI-5.9.1,(14)その他のビタミン摂取量不足
NI-5.9.2,ビタミン摂取量過剰(Excessivevitaminintake)
NI-5.9.2,(1)ビタミンA摂取量過剰
NI-5.9.2,(2)ビタミンC摂取量過剰
NI-5.9.2,(3)ビタミンD摂取量過剰
NI-5.9.2,(4)ビタミンE摂取量過剰
NI-5.9.2,(5)ビタミンK摂取量過剰
NI-5.9.2,(6)チアミン(ビタミンB1)摂取量過剰
NI-5.9.2,(7)リボフラビン(ビタミンB)摂取量過剰
NI-5.9.2,(8)ナイアシン摂取量過剰
NI-5.9.2,(9)葉酸摂取量過剰
NI-5.9.2,(10)ビタミンB6摂取量過剰
NI-5.9.2,(11)ビタミンB12の摂取量過剰
NI-5.9.2,(12)パントテン酸摂取量過剰
NI-5.9.2,(13)ビオチン摂取量過剰
NI-5.9.2,(14)その他のビタミン摂取量過剰
NI-5.10,ミネラル
NI-5.10.1,ミネラル摂取量不足(Inadequate-mineral-intake)-
NI-5.10.1,(1)カルシウム摂取量不足
NI-5.10.1,(2)クロール摂取量不足
NI-5.10.1,(3)鉄摂取量不足
NI-5.10.1,(4)マグネシウム摂取量不足
NI-5.10.1,(5)カリウム摂取量不足
NI-5.10.1,(6)リン摂取量不足
NI-5.10.1,(7)ナトリウム(食塩)摂取量不足
NI-5.10.1,(8)亜鉛摂取量不足
NI-5.10.1,(9)硫酸塩摂取量不足
NI-5.10.1,(10)フッ化物摂取量不足
NI-5.10.1,(11)銅摂取量不足
NI-5.10.1,(12)ヨウ素摂取量不足
NI-5.10.1,(13)セレン摂取量不足
NI-5.10.1,(14)マンガン摂取量不足
NI-5.10.1,(15)クロム摂取量不足
NI-5.10.1,(16)モリブデン摂取量不足
NI-5.10.1,(17)ホウ素摂取量不足
NI-5.10.1,(18)コバルト摂取量不足
NI-5.10.1,(19)その他のミネラル摂取量不足
NI-5.10.2-,ミネラル摂取量過剰(Excessive-mineral-intake)-
NI-5.10.2,(1)カルシウム摂取量過剰
NI-5.10.2,(2)クロール摂取量過剰
NI-5.10.2,(3)鉄摂取量過剰
NI-5.10.2,(4)マグネシウム摂取量過剰
NI-5.10.2,(5)カリウム摂取量過剰
NI-5.10.2,(6)リン摂取量過剰
NI-5.10.2,(7)ナトリウム(食塩)摂取量過剰
NI-5.10.2,(8)亜鉛摂取量過剰
